brand,category_name,description,price,date_added,notes,sort_order
Hermitage Homes,BATHROOM/ENSUITE/POWDER,"Provide category 1 floor to ceiling wall tiles to the Bathroom, Guest Ensuite and Ensuite.
Note: Excludes Ensuite WC if applicable.",7500,,,3
Hermitage Homes,BATHROOM/ENSUITE/POWDER,Provide 1No. approx. 330mm high x 535mm wide Tiled Shower Niche to the ##########. (1No. Total),358,,,4
Hermitage Homes,BATHROOM/ENSUITE/POWDER,"Provide 1No. Posh Solus Freestanding 1500mm Bath to Bathroom in lieu of standard Bath in Hob including:
- Remove Hob and standard inset Bath
- Category 1 Wall and Floor Tiles
- 1No. Posh Solus MK3 Wall Bath Mixer Set Chrome
- 1No. Posh Solus Freestanding 1500mm Bath",1528,2023-10-04,,5
Hermitage Homes,BATHROOM/ENSUITE/POWDER,"Provide 1No. Posh Solus Freestanding 1780mm Bath to Bathroom in lieu of standard Bath in Hob including:
- Remove Hob and standard inset Bath
- Category 1 Wall and Floor Tiles
- 1No. Posh Solus MK3 Wall Bath Mixer Set Chrome
- 1No. Posh Solus Freestanding 1780mm Bath",1628,2023-10-04,,6
Hermitage Homes,BATHROOM/ENSUITE/POWDER,Provide 1No. Posh Solus MK3 Basin Mixer Tap in Matte Black to the ######### in lieu of standard. (#No. Total),110,2023-10-04,,7
Hermitage Homes,BATHROOM/ENSUITE/POWDER,Provide 1No. Posh Solus MK3 Shower/Wall Mixer in Matte Black to the ########## in lieu of standard. (#No. Total),80,2023-10-04,,8
Hermitage Homes,BATHROOM/ENSUITE/POWDER,Provide 1No. Clark Square Wall Hung Basin with Standard Basin Mixer to the WC.,990,2023-10-04,,9
Hermitage Homes,BATHROOM/ENSUITE/POWDER,Provide 1No. Posh Solus MK3 Wall Bath Mixer Set in Matte Black to the Bathroom Bath in lieu of standard. (1No. Total),100,2023-10-04,,10
Hermitage Homes,BATHROOM/ENSUITE/POWDER,Provide 1No. Posh Solus MK3 Basin Mixer Tap in Chrome to the ######### in lieu of standard. (#No. Total),80,2023-10-04,,11
Hermitage Homes,BATHROOM/ENSUITE/POWDER,Provide 1No. Posh Solus MK3 Shower/Wall Mixer in Chrome to the ########## in lieu of standard. (#No. Total),60,2023-10-04,,12
Hermitage Homes,BATHROOM/ENSUITE/POWDER,Provide 1No. Posh Solus MK3 Wall Bath Mixer Set in Chrome to the Bathroom Bath in lieu of standard. (1No. Total),180,2023-10-04,,13
Hermitage Homes,BATHROOM/ENSUITE/POWDER,Provide 1No. Posh Domaine Semi Inset Basin to the ######### in lieu of standard. (#No. Total),150,2023-10-04,,14
Hermitage Homes,BATHROOM/ENSUITE/POWDER,"Provide a 1500mm wide Double Vanity option to the ######### in lieu of standard including:
- 20mm M0 Mineral Surface Benchtop
- 4No. 500mm wide doors in lieu of 2No. 500mm wide
- 1500mm wide Mirror in lieu of 1000mm wide
- 1No. additional standard Basin Mixer
- 1No. additional standard Inset Basin",1450,,,15
Hermitage Homes,BATHROOM/ENSUITE/POWDER,"Provide above counter top basin in lieu of standard including:
- 1No. ADP Louie Above Counter Basin (no taphole)
-  Posh Solus MK3 Extended Basin Mixer Tap Chrome",388,2023-10-04,,16
Hermitage Homes,BATHROOM/ENSUITE/POWDER,"Provide 1No. Posh Domaine Single Rail Shower in Chrome, in lieu of standard. (1No. Total)",320,2023-10-04,,17
Hermitage Homes,BATHROOM/ENSUITE/POWDER,"Provide 1No. Posh Domaine Single Rail Shower in Matte Black, in lieu of standard. (1No. Total)",365,2023-10-04,,18
Hermitage Homes,BATHROOM/ENSUITE/POWDER,Provide 1No. Posh Domaine Close Coupled Rimless Toilet Suite to the ########## in lieu of standard. (1No. Total),100,2023-10-04,,19
Hermitage Homes,BATHROOM/ENSUITE/POWDER,Provide 1No. Posh Solus Undermount Basin to the ########## in lieu of standard Basin. (1No. total),312,2023-10-04,,20
Hermitage Homes,BATHROOM/ENSUITE/POWDER,Provide 1No. Posh Domaine Rimless Close Coupled Back to Wall Toilet Suite  to the ########## in lieu of standard. (1No. Total),450,2023-10-04,,21
Hermitage Homes,BATHROOM/ENSUITE/POWDER,"Provide 1No. Posh Domaine Twin Rail Shower in Chrome, in lieu of standard. (1No. Total)",361,2023-10-04,,22
Hermitage Homes,BATHROOM/ENSUITE/POWDER,"Provide 1No. Posh Domaine Twin Rail Shower in Matte Black, in lieu of standard Shower. (1No. Total)",434,2023-10-04,,23
Hermitage Homes,BATHROOM/ENSUITE/POWDER,Provide 1No. Posh Solus MK2 Double Towel Rail in Chrome to the ######### in lieu of Single Towel Rail. (#No. Total),65,2023-10-04,,24
Hermitage Homes,BATHROOM/ENSUITE/POWDER,Provide 1No. Posh Solus MK2 Guest Towel Ring Chrome to the ########. (#No. Total),55,2023-10-04,,25
Hermitage Homes,FLOOR COVERINGS,Provide category 2 Carpet to the entire house excluding tiled and wet areas (refer to standard plans) in lieu of category 1.,0,,,1
Hermitage Homes,FLOOR COVERINGS,"Provide Category 1 Bronze Range Floor Tiles to the Lounge, Study, Master Bedroom, Bed 2, Bed 3 and Bed 4 in lieu of Category 1 Carpet.",0,,,2
Hermitage Homes,FLOOR COVERINGS,"Provide Category 3 Gold Range 600mm x 600mm Floor Tiles (Non rectified edge) to the Entry, Kitchen, Living areas, Rear Hallway and Wet Areas in lieu of Cat 1 Bronze Range Floor Tiles.",0,,,3
Hermitage Homes,FLOOR COVERINGS,"Provide Category 3 Gold Range 600mm x 600mm Floor Tiles (Non rectified edge) to the Lounge, Study, Master Bedroom, Bed 2, Bed 3 and Bed 4 in lieu of Category 1 Carpet.",0,,,4
Hermitage Homes,FLOOR COVERINGS,"Provide Category 7 Hybrid Flooring to the Entry, Kitchen, Living areas and Rear Hallway if applicable in lieu of Category 1 Bronze Range Floor Tiles.",0,2022-09-09,,5
Hermitage Homes,FLOOR COVERINGS,"Provide Category 7 Hybrid Flooring to the Lounge, Study, Master Bedroom, Bed 2, Bed 3 and Bed 4 in lieu of Category 1 Carpet.
*Note - Upgrade only applies to Ground Floor. No timber laminate to First Floor.",0,2022-09-09,,6
Hermitage Homes,GROUP/HOUSE RELATED,Provide Stainless Steel Brick Ties due to proximity of Salt Water.,500,,,1
Hermitage Homes,GROUP/HOUSE RELATED,"COMPLETED HOMES INCLUSIONS:
Provide 40mm square edge to the Kitchen wall and island cabinets.
Please note: Engineered stone benchtops over 3000mm in length will require a join in the benchtop. This join will be placed in the most inconspicuous position.
Provide 1No. Posh Solus MK3 Gooseneck Sink Mixer in Chrome to the Kitchen in lieu of standard.
Provide 1No. Capped water point to the Fridge space.
Provide Laminate Laundry Cabinets and Engineered Stone Benchtop in lieu of standard Trough and Steel Cabinet including:
- 900mm wide x 580mm deep Laminate Cabinets with 2No. Doors
- 20mm Engineered Stone Benchtop with 20mm Square Edge
- 1No. Everhard Benchline 45ltr Stainless Steel Trough
- 900mm wide x 400mm high Category 1 Tiled Splashback
Provide category 1 floor to ceiling wall tiles to the Bathroom, Guest Ensuite and Ensuite.
Note: Excludes Ensuite WC if applicable.
Provide Matte Black finishes to all standard Chrome Fittings/Fixtures. This includes and is not limited to EVERYTHING in the Bathroom/Ensuite, Internal & External Door Handles/Hinges/Latches/Strikers/Stops, Plug & Waste, Shower Screens, Tile Trims, Sink Mixers & Cabinet Handles. 
- Posh Solus MK3 Basin Mixer Tap in Matte Black in lieu of standard
- Posh Solus MK3 Shower/Wall Mixer in Matte Black in lieu of standard
- Posh Solus MK3 Wall Bath Mixer Set in Matte Black in lieu of standard
- Posh Solus MK3 Gooseneck Sink Mixer in Matte Black to the Kitchen and Laundry in lieu of standard
- Posh Domaine Single Rail Shower in Matte Black in lieu of standard
- Posh Solus MK2 Toilet Roll Holder Matte Black in Matte Black
- Posh Solus MK2 Single Towel Rail 750mm Matte Black
- Lockwood Velocity passage/privacy set and dummy handles, in Matte Black, in lieu of standard
- Lockwood Symmetry series entrance set Element Lever – 7550 Matte Black in lieu of standard
- Window frames to be Black
- Sliding door frame to be Black
Provide Stainless Steel Brick Ties due to proximity of Salt Water.
Provide 1No. approx. 330mm high x 535mm wide Tiled Shower Niche to the Bathroom and Ensuite showers. (2No. Total)
Provide 1No. Posh Bristol Single Rail Shower in chrome to the Bathroom and Ensuite showers in lieu of standard arm & rose. (2No. Total)
Provide 1No. Posh Solus MK3 Double Bowl Undermount Sink in Stainless Steel to the ######### in lieu of standard double bowl sink.",11475,2024-08-19,Completed Homes,2
Hermitage Homes,GROUP/HOUSE RELATED,"MPAI INCLUSIONS:
- Provide Colorbond roofing in lieu of category 1 Roof Tiles
- Provide 1No. York 3.0kw Split System Air Conditioner to the #########
- Provide Standard light point and conical light shade throughout home in lieu of Supply & Install LED Downlights.
- Provide 1No. Light Batten & Nogg and Bollene Small Pendant – Frosted Glass
- Provide Domain 600mm Oven , 580mm Cooktop and 600mm Rangehood in lieu of 900mm Domain appliances.
- Provide 1No. 600mm wide x 400mm high Microwave Space with 1No. Double GPO and 1No. approx. 350mm high x 600mm wide Pot Drawer below to the ######### in lieu of standard Doors
- Provide 1No. Oliveri Sonetto Double Bowl Universal Sink - SN63TU - Stainless Steel to the ######### in lieu of standard double bowl sink
- Provide Laminate benchtops throughout home in lieu of M0 Mineral Surface Benchtops throughout home
- Provide 1No. approx. 280mm high x 280mm wide Tiled Shower Niche to the ######### Shower
- Provide exposed aggregate concrete driveway, front porch and outdoor living",13000,,MPAI,3
Hermitage Homes,GROUP/HOUSE RELATED,"Provide 1No. 2040mm high x 820mm wide Stained VMAD104 Door, with Clear Glazing, to the Front Entry in lieu of PMAD101 with Clear Glazing
Provide Colorbond roofing in lieu of category 1 Roof Tiles.
Provide Timbagrain sectional panel door in lieu of standard.
Provide Austral Access Stone Category 3 Brickwork in lieu of Category 1 to the entire house.",0,,MPAI,4
Hermitage Homes,GROUP/HOUSE RELATED,Provide Depth Extension to Prominent Facade Porch to comply with SLHC Requirements.,2100,2022-12-15,,5
Hermitage Homes,GROUP/HOUSE RELATED,Provide Depth Extension to Alpha Façade Porch to comply with SLHC Requirements.,2500,2022-12-15,,6
Hermitage Homes,GROUP/HOUSE RELATED,"Provide the Double Garage Option to the Jackson 18, as per sketch. 
*Note, minimum lot width to be 12.5m wide.",7900,2023-06-01,,7
Hermitage Homes,GROUP/HOUSE RELATED,"Provide the Double Garage Option to the Lucas 16, as per sketch. 
*Note, minimum lot width to be 10.5m wide.",7900,2023-06-07,,8
Hermitage Homes,GROUP/HOUSE RELATED,"Provide the Ensuite to Bed 2 Option to the Heath 21, as per sketch.",7430,2023-09-06,,9
Hermitage Homes,GROUP/HOUSE RELATED,"Provide the Double Garage Option to the Boomer 14 and 17, as per sketch. 
*Note, minimum lot width to be 10.5m wide.",7900,2023-08-04,,10
Hermitage Homes,GROUP/HOUSE RELATED,"Provide the Double Garage Option to the Cabot 13, as per sketch. 
*Note, minimum lot width to be 10.5m wide.",7900,2023-09-12,,11
Hermitage Homes,GROUP/HOUSE RELATED,HH $2K Markup,2000,2024-12-04,,12
Hermitage Homes,GROUP/HOUSE RELATED,HH $5K Markup,5000,2024-06-20,,13
Hermitage Homes,GROUP/HOUSE RELATED,"Provide the GE living pack including:
- Additional Ensuite with standard fixtures and fittings (design dependant)
- Solid Flush panel doors to the bedrooms only including Digital Deadbolts additional to the passage sets.
- Solid Flush panel door to WIP (Number of and location design dependant) 
- Lockable Pull out pantries and/or WIP with 1No. Digital Deadbolt and 1No. Passage Set (Number of and location design dependant)",0,2023-09-22,"AG 6/02/2025 - WIP door now 1No. Digital 
Deadbolt and 1No. Passage Set ilo entrance
set approved by management",14
Hermitage Homes,GROUP/HOUSE RELATED,"Provide Fire Sprinklers to the home as designed by Fire Consultancy including:
External Water tank serviced by mains cold water point.
Thermal detectors
Smoke alarms
Indicator strobe with sounder
Connection to pump
Number of ceiling mounted fire sprinklers (location and quantity design dependant)
Certificates and compliance included.",51500,2024-04-10,DG reviewed price with Suni and Shifa 12/5/2025,15
Hermitage Homes,GROUP/HOUSE RELATED,"Provide the Double Garage Option to the Access 22, as per sketch. 
*Note, minimum lot width to be 13.5m wide.",7900,2024-06-04,,16
Hermitage Homes,GROUP/HOUSE RELATED,"Provide the Double Garage Option to the Access 18, as per sketch. 
*Note, minimum lot width to be 12.5m wide.",7900,2024-06-06,,17
Hermitage Homes,GROUP/HOUSE RELATED,"Provide the Corner Treatment Option for the Cabot 13 including:
- Provide approx.350mm width reduction to the Bathroom.
- Provide a 1000mm high x 600mm wide Aluminium Sliding Window to the Bathroom in lieu of brickwork.
- Re arrange the Bathroom to suit.",430,2024-09-03,,18
Hermitage Homes,GROUP/HOUSE RELATED,Reventon Charity Mark up DO NOT ADD TO TENDER,1000,2024-12-03,,19
Hermitage Homes,GROUP/HOUSE RELATED,Provide 1No. Additional TV point and Double GPO at 300mm high from FFL to all bedrooms of a GE product. Additional TV points include for TV signal booster.,850,2025-07-18,Applies to Co Living product and price based off Leon,20
Hermitage Homes,GROUP/HOUSE RELATED,Provide 1No. Additional TV point and Double GPO at 300mm high from FFL to all bedrooms to the Forrest 32. Additional TV points include for TV signal booster.,1700,2025-08-25,Applies to Co Living product and price based off Leon,21
Hermitage Homes,GROUP/HOUSE RELATED,"Provide the Aspire Group upgrade pack including:
Provide Neutralizing to all Brickwork.
Note: For light coloured Bricks, the acid wash needs to be neutralized to help prevent iron staining, acid burning or vanadium staining.
Provide 1No. additional Weatherproof Double GPO to the Outdoor Living (1No. Total)
Provide Category 7 Hybrid Flooring to the Entry, Kitchen, Living areas and Rear Hallway if applicable in lieu of Category 1 Bronze Range Floor Tiles.
Provide 1No. 2040mm high x 920mm wide PMAD Door with Clear Glazing to the Front Entry in lieu of 2040mm high x 820mm wide PMAD Door with Clear Glazing.
Provide 1No. Additional Double GPO to all bedrooms. 
Provide 1No. 2040mm high x up to 1800mm wide Sliding Door unit with 2No. Mirror Sliding Doors to Bed 2, 3 & 4in lieu of standard hinged only doors. (3No. Unit total)
Provide Evaporative Cooling with up to 8No. outlets, to the whole single storey house in lieu of 1No. split system in Living Area.
Provide 1No. Posh Solus MK2 Gooseneck Sink Mixer in Chrome to the Kitchen in lieu of standard.
Provide category 1 Brickwork above all windows & doors in lieu of painted infill panel.
Note: This excludes Garage sectional panel.
Provide 1No. additional TV point for NBNco Community.
Provide 40mm square edge to the Kitchen wall and island cabinets.
Please note: M0 Mineral Surface benchtops over 3000mm in length will require a join in the benchtop. This join will be placed in the most inconspicuous position.
Provide category 1 floor to ceiling wall tiles to the Bathroom, Guest Ensuite (if applicable) and Ensuite.
Note: Excludes Ensuite WC if applicable.
Provide 1No. 800mm wide x 900mm high Category 1 M0 Mineral Surface Waterfall End with 20mm Square Edging to either side of the Kitchen Island Benchtop. (2No. total)",20069,2025-07-22,"Aspire Group only, requested by Layal 22/7",22
Hermitage Homes,GROUP/HOUSE RELATED,"Provide Axon Property Group inclusions including:
1No. Capped cold water point to the fridge space
1no 48"" Ceiling fan to each bedroom and living not including light. (5No. Total)",2150,2025-08-06,,23
Hermitage Homes,GROUP/HOUSE RELATED,$5k offset DO NOT ADD TO TENDER,5000,2025-09-11,,24
Hermitage Homes,GROUP/HOUSE RELATED,$8k offset DO NOT ADD TO TENDER,8000,2025-09-11,,25
Hermitage Homes,GROUP/HOUSE RELATED,"Provide the Leon 22 Upgrade Pack including:
2720mm high ceilings
900mm wide x 660mm high x 320mm deep Laminate Overhead Cabinets and 900mm wide x 300mm high Category 1 Splashback Wall Tiles to the Laundry wall above Trough and Cabinet.
1No. Additional 2.5KW Split system to each of the bedrooms (5No. Total)
Three phase power to the home in lieu of single phase including additional internal switchboard for increased number of modules. Pending 3 phase availability in power pit. If deemed not available client to organise at their cost or a reduction in number of appliances in home will be required to comply with single phase connection.",16999,2025-09-24,"$20k value, JC approved $16,999",26
Hermitage Homes,GROUP/HOUSE RELATED,"Provide 1No. White 48"" ceiling fan without light to each Bedroom, Living area, Lounge (if applicable) and Outdoor Living (up to 7No. Total)",3990,2026-01-14,For CR Property group only,27
Hermitage Homes,GROUP/HOUSE RELATED,Land Referral Fee DO NOT ADD TO TENDER,5000,2025-10-20,,28
Hermitage Homes,REGULATORY,Provide performance solution for stepless entry to be deemed to comply with requirements due to more than 400mm of fall over the site,2000,2025-05-09,,1
Hermitage Homes,REGULATORY,KINGSBRIDGE COMPLETE PROMO,0,,,2
Hermitage Homes,REGULATORY,"Provide a Colour And Electrical Voucher including:
Pay $2,999
$10,000 to be used for colours and electrical upgrades
Can be used to upgrade cooling on single storey homes",2999,2025-10-20,,3
